city,County,RUCA code
GRASS VALLEY,NEVADA,6
GRASS VALLEY,NEVADA,3
GRASS VALLEY,NEVADA,10
GRASS VALLEY,NEVADA,5
GRASS VALLEY,NEVADA,4
GREENBRAE,MARIN,1
GREENFIELD,MONTEREY,4
GRIDLEY,BUTTE,7
GROVER BEACH,SAN LUIS OBISPO,1
GUERNEVILLE,SONOMA,2
GUSTINE,MERCED,7
HACIENDA HEIGHTS,LOS ANGELES,1
HALF MOON BAY,SAN MATEO,4
HANFORD,KINGS,10
HANFORD,KINGS,1
HARBOR CITY,LOS ANGELES,1
HAWAIIAN GARDENS,LOS ANGELES,1
HAWTHORNE,LOS ANGELES,1
HAYFORK,TRINITY,10
HAYWARD,ALAMEDA,1
HEALDSBURG,SONOMA,2
HEALDSBURG,SONOMA,1
HEMET,RIVERSIDE,1
HERALD,SACRAMENTO,2
HERCULES,CONTRA COSTA,1
HERLONG,LASSEN,2
HERMOSA BEACH,LOS ANGELES,1
HESPERIA,SAN BERNARDINO,1
HIGHLAND,SAN BERNARDINO,1
HILMAR,MERCED,7
HINKLEY,SAN BERNARDINO,2
HINKLEY,SAN BERNARDINO,4
HOLLISTER,SAN BENITO,10
HOLLISTER,SAN BENITO,4
HOLTVILLE,IMPERIAL,2
HOMELAND,RIVERSIDE,1
HOOPA,HUMBOLDT,10
HOPLAND,MENDOCINO,5
HORNBROOK,SISKIYOU,9
HUGHSON,STANISLAUS,1
HUNTINGTON BEACH,ORANGE,1
HUNTINGTON PARK,LOS ANGELES,1
HURON,FRESNO,7
IDYLLWILD,RIVERSIDE,10
IGO,SHASTA,2
IMPERIAL,IMPERIAL,1
IMPERIAL BEACH,SAN DIEGO,1
INDEPENDENCE,INYO,8
INDIAN WELLS,RIVERSIDE,1
INDIO,RIVERSIDE,1
INGLEWOOD,LOS ANGELES,1
IONE,AMADOR,3
IRVINE,ORANGE,1
ISLETON,SACRAMENTO,10
JACKSON,AMADOR,7
JAMESTOWN,TUOLUMNE,2
JAMESTOWN,TUOLUMNE,10
JAMESTOWN,TUOLUMNE,4
JAMUL,SAN DIEGO,1
JANESVILLE,LASSEN,5
JOSHUA TREE,SAN BERNARDINO,4
JOSHUA TREE,SAN BERNARDINO,6
JULIAN,SAN DIEGO,10
KELSEYVILLE,LAKE,5
KELSEYVILLE,LAKE,3
KERMAN,FRESNO,10
KERMAN,FRESNO,2
KETTLEMAN CITY,KINGS,10
KING CITY,MONTEREY,4
KINGS BEACH,PLACER,4
KINGS CANYON NATIONAL PK,FRESNO,2
KINGSBURG,FRESNO,4
KINGSBURG,TULARE,3
KLAMATH,DEL NORTE,10
KORBEL,HUMBOLDT,4
KYBURZ,EL DORADO,2
LA CANADA FLINTRIDGE,LOS ANGELES,1
LA CANADA FLINTRIDGE,LOS ANGELES,2
LA CRESCENTA,LOS ANGELES,1
LA HABRA,ORANGE,1
LA HABRA,LOS ANGELES,1
LA JOLLA,SAN DIEGO,1
LA MESA,SAN DIEGO,1
LA MIRADA,LOS ANGELES,1
LA PALMA,ORANGE,1
LA PUENTE,LOS ANGELES,1
LA QUINTA,RIVERSIDE,1
LA VERNE,LOS ANGELES,1
LADERA RANCH,ORANGE,1
LAFAYETTE,CONTRA COSTA,1
LAGUNA BEACH,ORANGE,1
LAGUNA HILLS,ORANGE,1
LAGUNA NIGUEL,ORANGE,1
LAGUNA WOODS,ORANGE,1
LAKE ARROWHEAD,SAN BERNARDINO,4
LAKE ELSINORE,RIVERSIDE,1
LAKE FOREST,ORANGE,1
LAKE HUGHES,LOS ANGELES,2
LAKEHEAD,SHASTA,2
LAKEPORT,LAKE,5
LAKEPORT,LAKE,4
LAKESIDE,SAN DIEGO,2
LAKESIDE,SAN DIEGO,1
LAKEWOOD,LOS ANGELES,1
LAMONT,KERN,1
LANCASTER,LOS ANGELES,1
LANCASTER,LOS ANGELES,3
LANCASTER,LOS ANGELES,10
LANCASTER,LOS ANGELES,2
LANDERS,SAN BERNARDINO,10
LANDERS,SAN BERNARDINO,5
LARKSPUR,MARIN,1
LATHROP,SAN JOAQUIN,1
LATON,FRESNO,10
LAWNDALE,LOS ANGELES,1
LE GRAND,MERCED,10
LEBEC,VENTURA,10
LEGGETT,MENDOCINO,10
LEMON GROVE,SAN DIEGO,1
LEMOORE,KINGS,2
LEMOORE,KINGS,7
LEMOORE,KINGS,1
LEWISTON,TRINITY,10
LINCOLN,PLACER,1
LINCOLN,PLACER,2
LINDEN,SAN JOAQUIN,10
LINDSAY,TULARE,4
LITCHFIELD,LASSEN,10
LITTLEROCK,LOS ANGELES,1
LIVE OAK,SUTTER,2
LIVERMORE,ALAMEDA,1
LIVERMORE,ALAMEDA,2
LIVINGSTON,MERCED,1
LIVINGSTON,MERCED,2
LLANO,LOS ANGELES,3
LOCKEFORD,SAN JOAQUIN,2
LODI,SAN JOAQUIN,3
LODI,SAN JOAQUIN,10
LODI,SAN JOAQUIN,2
LODI,SAN JOAQUIN,1
LOLETA,HUMBOLDT,4
LOMA LINDA,SAN BERNARDINO,1
LOMITA,LOS ANGELES,1
LOMPOC,SANTA BARBARA,7
LOMPOC,SANTA BARBARA,1
LONG BARN,TUOLUMNE,5
LONG BARN,TUOLUMNE,4
LONG BEACH,LOS ANGELES,99
LONG BEACH,LOS ANGELES,1
LOOMIS,PLACER,1
LOS ALAMITOS,ORANGE,1
LOS ALTOS,SANTA CLARA,1
LOS ANGELES,LOS ANGELES,1
LOS ANGELES,LOS ANGELES,2
LOS BANOS,MERCED,4
LOS BANOS,MERCED,10
LOS GATOS,SANTA CRUZ,2
LOS GATOS,SANTA CLARA,1
LOS OLIVOS,SANTA BARBARA,4
LOS OSOS,SAN LUIS OBISPO,2
LOS PADRES NTL FOREST,SANTA BARBARA,10
LOST HILLS,KERN,10
LOWER LAKE,LAKE,4
LUCERNE VALLEY,SAN BERNARDINO,10
LUCERNE VALLEY,SAN BERNARDINO,2
LYNWOOD,LOS ANGELES,1
LYTLE CREEK,SAN BERNARDINO,2
MACDOEL,SISKIYOU,10
MADERA,MADERA,2
MADERA,MADERA,1
MAGALIA,BUTTE,4
MALIBU,LOS ANGELES,1
MALIBU,LOS ANGELES,2
MAMMOTH LAKES,MONO,7
MANHATTAN BEACH,LOS ANGELES,1
MANTECA,SAN JOAQUIN,1
MARCH AIR RESERVE BASE,RIVERSIDE,1
MARICOPA,KERN,5
MARINA,MONTEREY,1
MARINA DEL REY,LOS ANGELES,1
MARIPOSA,MARIPOSA,10
MARKLEEVILLE,ALPINE,10
MARTINEZ,CONTRA COSTA,1
MARYSVILLE,YUBA,10
MARYSVILLE,YUBA,2
MARYSVILLE,YUBA,1
MATHER,SACRAMENTO,1
MAYWOOD,LOS ANGELES,1
MC FARLAND,KERN,1
MC FARLAND,KERN,3
MC KITTRICK,KERN,2
MCARTHUR,MODOC,10
MCARTHUR,LASSEN,5
MCCLELLAN,SACRAMENTO,1
MCKINLEYVILLE,HUMBOLDT,4
MEADOW VISTA,PLACER,3
MECCA,RIVERSIDE,2
MENDOCINO NTL FOREST,LAKE,4
MENDOTA,FRESNO,4
MENIFEE,RIVERSIDE,1
MENLO PARK,SAN MATEO,1
MENTONE,SAN BERNARDINO,1
MERCED,MERCED,1
MERCED,MERCED,2
MERIDIAN,SUTTER,3
MI WUK VILLAGE,TUOLUMNE,10
MIDDLETOWN,LAKE,2
MIDWAY CITY,ORANGE,1
MILL VALLEY,MARIN,1
MILLBRAE,SAN MATEO,1
MILPITAS,SANTA CLARA,1
MIRA LOMA,RIVERSIDE,1
MISSION HILLS,LOS ANGELES,1
MISSION VIEJO,ORANGE,1
MODESTO,STANISLAUS,2
MODESTO,STANISLAUS,1
MODOC SHASTA KLAMATH FOR,SISKIYOU,8
MOJAVE,KERN,7
MONROVIA,LOS ANGELES,1
MONTAGUE,SISKIYOU,8
MONTCLAIR,SAN BERNARDINO,1
MONTEBELLO,LOS ANGELES,1
MONTEREY,MONTEREY,1
MONTEREY PARK,LOS ANGELES,1
MONTGOMERY CREEK,SHASTA,2
MONTROSE,LOS ANGELES,1
MOORPARK,VENTURA,2
MOORPARK,VENTURA,1
MORAGA,CONTRA COSTA,1
MORENO VALLEY,RIVERSIDE,1
MORGAN HILL,SANTA CLARA,2
MORGAN HILL,SANTA CLARA,1
MORONGO VALLEY,SAN BERNARDINO,2
MORONGO VALLEY,SAN BERNARDINO,4
MORRO BAY,SAN LUIS OBISPO,2
MOSS BEACH,SAN MATEO,4
MOSS LANDING,MONTEREY,1
MOUNT SHASTA,SISKIYOU,7
