city,kWh,budget,claims,programs,obf,resource,dac,ces_score,ces_percentile,income,population,ruca,revenue,predicted_revenue,number,total_wa,perc_wa,total_ba,perc_ba,total_ia,perc_ia,total_aa,perc_aa,total_na,perc_na,total_mixed,perc_mixed,total_twoormoreraces,perc_twoormoreraces
CARMEL VALLEY,30851.149,19611.902,7,1,0,100,0,14.36136776,24.99054105,73199,11768,3,,-114100618.1,57,7387,0.62771924,63,0.0053535,100,0.00849762,57,0.00484364,0,0,3871,0.3289429,290,0.0246431
CARPINTERIA,4805.7264,10809.52602,4,1,0,100,0,21.08537881,41.02661117,72540,13619,1,30597609,30597609,58,9993,0.73375431,63,0.00462589,186,0.01365739,330,0.02423085,0,0,2520,0.18503561,527,0.03869594
CARSON,931403.6923,472207.048,109,2,35.83050645,100,0.7777777778,46.60398634,84.84676504,79687.5,83730,1,208784719,208784719,59,20969,0.25043593,20837,0.24885943,598,0.007142,23553,0.28129703,2191,0.02616744,11453,0.1367849,4129,0.04931327
CARUTHERS,23185.278,10472.4804,2,1,0,100,1,47.89711325,86.61874133,45587,5068,2,,-147737931.5,60,3104,0.6124704,8,0.00157853,0,0,306,0.06037885,0,0,1450,0.28610892,200,0.0394633
CASTAIC,90940.26,52234.364,20,1,0,100,0,14.49858258,23.75457182,120072.5,30663,2,,-19238373.79,61,21093,0.68789747,1912,0.06235528,539,0.01757819,2356,0.07683527,94,0.00306558,2750,0.08968464,1919,0.06258357
CASTRO VALLEY,324351.0194,224983.1643,91,2,0,100,0,12.27988286,18.31882961,123005.5,68146,1,,168944823,62,36828,0.5404279,4273,0.06270361,525,0.00770405,19778,0.2902298,286,0.00419687,1724,0.02529862,4732,0.06943915
CASTROVILLE,206877.143,122974.9242,24,2,0,100,0,31.32869974,61.83629714,66063,15986,2,,-92924172.14,63,7831,0.48986613,224,0.01401226,29,0.00181409,670,0.04191167,83,0.00519204,6788,0.42462154,361,0.02258226
CAYUCOS,18655.46744,13042.57852,11,2,0,100,0,7.285554977,7.062681297,64246,2630,2,,-159977897.2,64,2502,0.9513308,0,0,0,0,43,0.01634981,0,0,47,0.01787072,38,0.01444867
CAZADERO,352.748,377.104511,4,1,0,100,0,3.98585298,3.077311136,70517.5,3983,6,,-153185168.1,65,3438,0.86316847,0,0,118,0.02962591,119,0.02987698,5,0.00125534,189,0.04745167,114,0.02862164
CERRITOS,8785.8,2267.63522,3,1,100,100,0,25.35303137,50.48555934,106354,50143,1,158028704,158028704,66,9937,0.19817322,4334,0.0864328,172,0.00343019,29655,0.59140857,267,0.00532477,2790,0.05564087,2988,0.05958957
CHATSWORTH,1377.6,842.5557076,1,1,0,100,0,23.30719819,45.8569807,91544,47215,1,,63860851.81,67,27376,0.57981574,2521,0.05339405,163,0.00345229,7542,0.15973737,137,0.00290162,7410,0.15694165,2066,0.04375728
CHICO,1541790.982,1293355.724,4523,5,16.25304024,100,0.04347826087,19.49668227,37.04124101,50488,109037,1,162340118,162340118,68,89791,0.82349111,2072,0.01900272,682,0.00625476,5105,0.04681897,402,0.00368682,5581,0.05118446,5404,0.04956116
CHOWCHILLA,461350.782,198932.8769,336,2,7.861166601,100,0.6666666667,45.63000063,83.78105688,73060,22300,7,19055065,19055065,69,13983,0.62704036,1555,0.06973094,588,0.02636771,784,0.03515695,56,0.00251121,4255,0.19080717,1079,0.04838565
CHUALAR,98910.981,62023.26814,3,1,0,100,0,23.89481889,47.38302434,71844,6527,2,,-140413030,70,2878,0.44093764,29,0.00444308,53,0.00812012,305,0.04672897,0,0,3171,0.4858281,91,0.01394209
CLAREMONT,118775.8775,49810.31779,10,1,66.61051498,100,0,26.7691881,53.38630344,91661,38213,1,71969579,71969579,71,24495,0.64101222,2051,0.05367283,377,0.00986575,5364,0.14037108,27,0.00070657,3189,0.08345328,2710,0.07091827
CLAYTON,56473.20302,33937.22711,74,2,0,100,0,4.600020856,2.944885862,139110.5,14078,1,14894867,14894867,72,11707,0.83158119,463,0.03288819,15,0.00106549,968,0.06875977,0,0,170,0.01207558,755,0.05362978
CLEARLAKE,381931.6878,224622.9936,57,2,6.061488819,100,0,25.69269569,51.12876781,29052,11491,4,20483995,20483995,73,7810,0.67966234,678,0.0590027,555,0.04829867,19,0.00165347,0,0,1910,0.16621704,519,0.04516578
CLEARLAKE OAKS,48434.09216,32304.5173,8,1,0,100,0,18.57060279,34.48732501,44306.5,7002,4,,-138028295.1,74,5676,0.81062554,168,0.02399314,223,0.03184804,81,0.01156812,0,0,500,0.07140817,354,0.05055698
CLOVERDALE,255002.1183,115774.557,26,1,0,100,0,19.33756652,35.98814478,68313,10009,2,18179773,18179773,75,7562,0.75552003,69,0.0068938,233,0.02327905,399,0.03986412,6,0.00059946,1317,0.13158158,423,0.04226196
CLOVIS,1719822.479,886236.7007,7733,3,11.05423329,100,0.1428571429,20.94706762,40.5662757,93445,133683,2,172798267,172798267,76,94332,0.70563946,3670,0.027453,1538,0.01150483,14960,0.11190653,392,0.00293231,12073,0.09031066,6718,0.05025321
COALINGA,210288.777,54218.71551,591,2,0,100,0,31.83770714,62.83263968,52173,18095,7,13146859,13146859,77,10702,0.5914341,523,0.02890301,500,0.02763194,416,0.02298978,116,0.00641061,4698,0.25962973,1140,0.06300083
COARSEGOLD,49681.443,20641.20544,7,1,0,100,0,12.09459976,18.08550889,70732.5,12361,6,,-111123464.8,78,10923,0.88366637,132,0.01067875,331,0.02677777,167,0.01351023,0,0,140,0.01132594,668,0.05404094
COLFAX,7543,2838.185382,30,2,0,100,0,8.659617039,10.13999243,69591,7188,2,6124843,6124843,79,6456,0.89816361,100,0.01391208,138,0.01919866,43,0.00598219,0,0,83,0.01154702,368,0.05119644
COLUSA,1902.15,1631.909785,2,1,0,100,0,31.15810985,61.62820028,53136.5,7592,7,9855638,9855638,80,6695,0.88184932,181,0.02384089,61,0.00803477,113,0.01488409,16,0.00210748,269,0.03543203,257,0.03385142
CONCORD,1030959.021,594691.2615,712,1,15.16682778,100,0,17.49302508,31.68747635,87806,151412,1,289984000,289984000,81,89247,0.58943149,6887,0.04548517,791,0.00522416,22741,0.15019285,805,0.00531662,19817,0.1308813,11124,0.07346842
COPPEROPOLIS,1300.02534,1478.380558,1,1,0,100,0,21.79290013,42.64093833,82575,4694,10,,-149615596.5,82,4307,0.91755432,84,0.01789519,0,0,57,0.01214316,0,0,89,0.01896037,157,0.03344695
CORCORAN,66692,4473.78769,345,1,0,100,0.4,38.04198054,73.11766932,36456,23331,4,14901061,14901061,83,14978,0.64197848,2666,0.11426857,358,0.01534439,176,0.00754361,20,0.00085723,4593,0.19686254,540,0.02314517
CORNING,115242.68,15793.3863,443,2,0,100,0,31.20632577,61.63450624,46739,17805,5,17477041,17477041,84,14959,0.84015726,74,0.00415614,354,0.01988206,125,0.0070205,12,0.00067397,1734,0.09738837,547,0.03072171
CORONA,2495850.081,1071545.117,413,1,0,100,0.175,27.60013403,55.11413797,92458.5,249129,1,303874260,303874260,85,145711,0.58488173,15566,0.06248169,1024,0.00411032,34334,0.13781615,834,0.00334766,38584,0.15487559,13076,0.05248686
CORONA DEL MAR,21522.04738,19366.0719,16,1,31.75633495,100,0,4.853206552,2.98902762,154344,9843,1,,-123765070.1,86,8866,0.90074164,251,0.02550036,9,0.00091436,208,0.02113177,0,0,263,0.0267195,246,0.02499238
CORTE MADERA,61005.82086,39199.55583,59,3,50.51509619,100,0,8.21100984,9.049060411,146381.5,11867,1,62244928,62244928,87,9809,0.82657791,243,0.02047695,22,0.00185388,752,0.06336901,15,0.00126401,503,0.04238645,523,0.0440718
COSTA MESA,275678.9738,148945.5584,80,1,52.66421996,100,0.08695652174,20.68295295,40.06810443,86884,111330,1,355838412,355838412,88,79250,0.71184766,1848,0.0165993,628,0.00564089,9513,0.08544867,866,0.00777868,14631,0.1314201,4594,0.04126471
COTATI,271937.381,109152.812,403,2,0,100,0,17.48975058,31.65594653,72985,14516,1,20660193,20660193,89,12152,0.83714522,65,0.00447782,4,0.00027556,449,0.03093139,40,0.00275558,1282,0.08831634,524,0.0360981
COULTERVILLE,6691.725804,5142.6919,3,1,0,100,0,15.1202458,25.37520494,39719,2857,10,,-158838244.9,90,2579,0.90269513,16,0.00560028,38,0.01330067,12,0.00420021,39,0.01365068,52,0.01820091,121,0.04235212
CULVER CITY,432360.5808,740226.9071,38,1,42.58739523,100,0,30.83203933,61.01652163,85544.5,41077,1,271554477,271554477,91,26716,0.6503883,2535,0.06171337,94,0.00228839,6042,0.14708961,38,0.00092509,3195,0.07778075,2457,0.05981449
