city,median_household_income_usd
Southeast Trinity County,26600
Atherton,
Boulder Creek,114562
Meadow Vista,89231
Trabuco Canyon,164583
Cambria,74036
Occidental,80341
Topanga,130703
Pismo Beach,84782
Saratoga,194503
Big Bar,45109
Earp,33276
Granite Bay,136534.5
Hermosa Beach,136285
Del Mar,151534
Fairfax,111060
Danville,169094.5
El Dorado,83527
Glen Ellen,117167
Janesville,92888
Belvedere Tiburon,159963
Newport Coast,148583
Rescue,131267.5
Cayucos,64246
Scotts Valley,107500
El Dorado Hills,146439.5
Portola Valley,237163
Herald,91136
Pilot Hill,90994
Mill Valley,158869
Tahoma,68077
Cazadero,70517.5
Rough and Ready,64517
Tahoe City,76245.5
Applegate,72542
Lafayette,188247
Palo Cedro,70226
Felton,98578
Soquel,105221
Pebble Beach,141402
Ladera Ranch,168313
Clayton,139110.5
Rancho Santa Fe,135990
Sunset Beach,85000
Lake Hughes,63211
Oak Park,143627
Villa Park,166640.5
Larkspur,122685
Corona del Mar,154344
Norden,76971
Point Reyes Station,95441
San Anselmo,142072.5
Carmel,99337
Stinson Beach,85903
Pacific Grove,85889.5
Penryn,86985
Alamo,219750
Moraga,186652
San Geronimo,97321
Carnelian Bay,64792
Universal City,
Yosemite National Park,47829
San Quentin,
Kyburz,
Channel Islands,
Channel Is Air Guard Station,
