city,dac_proportion,ces_score_median,ces_percentile_median
South San Francisco,0.181818181818182,18.2830425015593,33.9765418085509
Rodeo,1,43.4550238719702,80.8424769832261
Delhi,0.5,40.490757088899,76.6931517215286
Oroville,0.0714285714285714,23.9251786237035,47.4145541682432
Costa Mesa,0.0869565217391304,20.6829529544319,40.0681044267877
Hayward,0.0555555555555556,29.5292983802132,58.601336864674
Pasadena,0.027027027027027,22.9578354279127,45.087652919662
Signal Hill,0.333333333333333,38.9397810981153,74.3221087148442
Lake Elsinore,0.181818181818182,26.7506173386107,53.4493630974902
Redwood City,0.0416666666666667,14.0036553606928,22.6636398032539
Arvin,0.5,40.3105529051333,76.3778534493631
Taft,0.666666666666667,39.726412437606,75.621137596166
Morgan Hill,0.0909090909090909,18.0534046281367,33.3333333333333
Winnetka,0.5,38.8644483043798,74.397780300164
California City,0.333333333333333,22.2267951334265,43.5111615588347
Martinez,0.0769230769230769,21.2269924104003,41.4680287552024
Lindsay,0.25,37.9134111527363,73.0167738680792
Union City,0.125,23.3998838236634,46.0903014251482
Newark,0.111111111111111,22.8409143189324,44.7597427166099
San Jacinto,0.1,28.1814868560867,56.2870475469795
Blythe,0.166666666666667,32.6340786777761,64.226258040106
Ventura,0.08,19.7821103948556,37.810568798083
MC Kittrick,1,41.5842215504105,78.3200908059024
Oakdale,0.25,37.3263606398509,72.0204313280363
Covina,0.0555555555555556,28.0101386704953,55.9969731365872
Nuevo,0.333333333333333,34.9382732559411,68.3818892672468
Hesperia,0.0666666666666667,27.6335654581229,55.1393618362971
Stevinson,1,41.1747309331318,77.6516584689116
Cutler,1,40.9337946224201,77.3615840585194
Escalon,0.5,35.9794065205563,69.3719258418464
Hughson,1,40.8416988975396,77.2985244040863
Baker,1,40.7848670727529,77.2228528187666
Santa Clara,0.0454545454545455,18.5741959078344,34.6891159036448
Orange,0.0384615384615385,25.629923612118,51.0404842981461
