SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,TotalLifecycleGrosskWh,TotalLifecycleGrossTherm,Budget,Total Claims,Total Programs,% OBF Budget,% Resource Budget,dac_proportion,ces_score_median,ces_percentile_median,Total Tax Revenue,median_household_income_usd,total_population,ruca_average,ruca_median,Total.Tax.Revenue
DOWNEY,1639051.641,-31.91832799,12896970.63,-159.5916399,748363.9731,95,1,34.93263971,100,0.272727273,34.45541725,67.43599445,220835936,74231,112322,1,1,220835936
DUBLIN,282452.393,-438.0994,3127916,-5831.8052,208330.7862,299,2,12.64694717,100,0,12.98059678,19.97729852,283718026,124338,37942,1,1,283718026
DURHAM,185,0,2220,0,13.93221308,1,1,0,100,0,17.66888967,32.33699079,,84811,5834,2,2,-143892232.7
EL CERRITO,401832.2498,-700.49489,4427479.634,-9872.382056,183162.5768,1346,1,0,100,0,11.36615592,15.90364485,68530224,107813,30762,1,1,68530224
EL DORADO HILLS,13795.7,-24.6,165548.4,-295.2,6773.087062,36,2,37.92175978,100,0,4.262993213,2.251229663,,146439.5,33927,1,1,-2851479.618
EL MONTE,119920.023,-178.2217452,696330.7165,-1035.637514,121529.5452,40,1,0,100,1,53.57521225,92.0797074,219130286,52436,98427,1,1,219130286
EL SEGUNDO,17577.90317,-11.78931781,87889.51584,-58.94658907,48444.04815,4,1,0,100,0.166666667,15.56612256,26.56703241,194778081,109929,16731,6,6,194778081
EL SOBRANTE,251044.4889,-2394.44569,3049690.967,-30108.76808,192640.9567,121,2,22.08181959,100,0,15.69790454,27.18501703,,85388.5,21101,1,1,-67244342.57
EMERYVILLE,349156.8492,-843.37108,3993190.082,-11097.96613,230760.6884,799,2,3.638275216,100,0.4,35.68323888,69.58632867,134910892,79679,37271,1,1,134910892
ESCALON,24555.36,-46.56,308104.32,-744.96,13850.46844,3,1,0,100,0.5,35.97940652,69.37192584,10279976,69036,13379,5,5,10279976
EUREKA,1900805.269,-20811.01453,16315822.29,-171177.843,1633526.741,2795,3,3.504065616,100,0,15.29409632,25.91751797,78488452,52197.5,49398,4,4,78488452
FAIRFAX,193260.2195,-1062.445234,2300939.844,-12233.14969,156145.0299,791,2,77.05296066,100,0,3.849072866,1.715222601,27889662,111060,9682,2,2,27889662
FAIRFIELD,3668954.351,-17040.58138,34711597.87,-161494.1504,1821874.727,924,4,3.531775802,100,0,24.52497301,48.83970236,304222431,80596.5,119471,1,1,304222431
FARMERSVILLE,12855.74783,-44.58975598,64278.73914,-222.9487799,47170.41483,2,1,0,100,1,39.89905213,75.83554042,14207660,32096,5422,1,1,14207660
FELTON,241666.693,-1283.7526,2228896.909,-6371.26423,125644.7526,18,1,26.58114999,100,0,6.368148573,5.41051835,,98578,4781,1,1,-149178813.4
FERNDALE,74572.78666,-806.1769729,708050.6763,-6298.541724,55313.63738,164,2,0,100,0,16.03575081,27.83453147,2294478,50896,3309,10,10,2294478
FILLMORE,15749.35488,-23.41860595,78746.7744,-117.0930298,35027.85199,1,1,0,100,0,30.02519964,59.57245554,18597707,75633.5,19999,4,4,18597707
FIREBAUGH,119501.4072,-13.814536,1431579.552,-148.999632,51464.879,212,2,0,100,1,41.5319313,78.21919536,10261058,50556,11116,9,10,10261058
FOLSOM,43074,0,516888,0,20014.58192,191,2,0,100,0,5.69767681,4.086265607,223853178,115527.5,78159,1,1,223853178
FOREST RANCH,279,0,3348,0,14.28292397,1,1,0,100,0,13.45460824,21.13759617,,109444,4753,2,2,-149319387.3
FORESTHILL,878,0,10536,0,43.47816218,3,1,0,100,0,11.58303528,16.38289822,,79802,6903,2,2,-138525324
FORESTVILLE,15331.78218,-206.02421,176145.8696,-2354.924264,6898.796941,11,1,0,100,0,10.37754511,14.19472821,,66913.5,8376,2,2,-131130135.6
FORT BRAGG,69661.43152,-447.8326168,550452.0508,-4077.285395,53340.16677,15,1,0,100,0,21.19126697,41.30407365,20389620,49522,12078,4,4,20389620
FORTUNA,289304.9109,1005.113956,3099440.798,47008.90693,358065.1024,158,1,10.26415064,100,0,23.52426979,45.92004036,17571716,48872.5,9342,4,4,17571716
FOUNTAIN VALLEY,26201.5625,0,314418.75,0,9423.693049,7,1,0,100,0,23.45967089,46.43712952,137721744,93454,53847,1,1,137721744
FOWLER,84149.10123,-193.2520001,848921.2216,-1729.784911,51443.67221,19,1,70.70799134,100,1,51.32610886,90.2005297,13479812,47406,5177,4,4,13479812
FREMONT,4189145.551,-6263.748834,48321489.99,-64324.23965,2351006.555,14231,3,59.06329147,100,0,16.55727479,29.20923193,705689160,135033.5,227727,1,1,705689160
FRENCH CAMP,112990.172,-96.2643,925086.284,-1505.922,60798.15547,151,1,0,100,1,56.14622002,94.08500441,,53250,6299,1,1,-141557702.7
FRESNO,5874454.692,-8106.654179,60333431.44,-90623.34045,3002237.46,684,5,7.372681682,100,0.664,46.16995249,84.44948922,849627432,43839,591168,2,2,849627432
FULLERTON,1050721.55,0,11475321.45,0,530717.7888,90,1,19.2749145,100,0.2,27.11149758,54.1241014,230208631,84479,155957,1,1,230208631
GARBERVILLE,20410.4792,-122.2678002,188149.116,-709.8312011,6670.862373,62,2,0,100,0,10.0760367,13.45693026,,65283,3241,10,10,-156910375
GARDENA,13146.65352,-7.559325773,65733.2676,-37.79662887,42208.28104,8,1,0,100,0.8,56.29544214,94.20481776,142671233,56535,79331,1,1,142671233
GEORGETOWN,6140.94708,-28.82142,73691.36496,-345.85704,5053.380547,7,2,0,100,0,14.08682116,22.67625173,,64883,7911,2,2,-133464665.5
GEYSERVILLE,93111.71767,-645.88934,971498.9354,-6763.021796,31897.2663,13,1,0,100,0,15.5125336,26.42199521,,104792,3644,2,2,-154887115.7
GILROY,2779159.006,-7600.82463,24477914.34,-62444.04319,1773220.929,95,3,6.823748777,100,0.2,27.45469124,54.59704881,132694169,96547.5,62228,6,6,132694169
GLEN ELLEN,58889.13057,-468.67347,706849.6327,-5789.075905,28515.95513,27,1,0,100,0,7.464265917,7.327531845,,117167,4782,4,4,-149173792.9
GOLETA,60493.62236,-40.57626606,303241.4025,-203.4267038,136099.8914,19,1,0,100,0,7.729470845,7.781561357,79722144,96250,56967,1,1,79722144
GONZALES,102710.78,-4.212,1230176.4,-37.0656,15273.97739,361,2,0,100,0,26.19232829,52.2260058,13714502,54205,5469,2,2,13714502
GRANITE BAY,3220.672,-19.367,45367.0688,-270.9328,5431.173093,5,1,0,100,0,5.231010659,3.443057132,,136534.5,25063,1,1,-47353143.21
GRASS VALLEY,735915.6256,-2095.30744,8273818.689,-21246.03184,504653.9775,204,4,70.46580579,100,0,11.87112952,17.46752428,43207378,76103.5,47806,6,5,43207378
GREENBRAE,278.028,-6.102,2984.876,-63.3252,443.3790589,5,1,0,100,0,5.588140253,3.934922437,,194808,12130,1,1,-112283199.1
GREENFIELD,382413.8566,-1301.2182,3632486.892,-9818.548254,160964.8627,541,2,4.639718211,100,0,22.19617776,43.39765418,21125795,63827,18424,4,4,21125795
GROVER BEACH,178879.2887,-1107.853238,1576795.997,-9370.14226,101869.0331,126,2,0,100,0,14.68362273,24.3977803,26760953,64127.5,13535,1,1,26760953
GUERNEVILLE,33654.98945,-73.02288,404951.1885,-811.9340352,16502.99496,10,1,0,100,0,11.49538742,16.24416698,,60331,7577,2,2,-135141510.7
GUSTINE,149519.2052,-476.90904,1922549.342,-7585.30848,88486.65877,285,2,0,100,1,52.1336534,90.8941859,6580991,60521,8712,7,7,6580991
