,SiteCity,TotalFirstYearGrosskWh,TotalFirstYearGrossTherm,Budget,Resource Claims,OBF Claims,Total Claims,Total Programs,% OBF,% Resource
460,SHAFTER,1160421.4314099995,-5616.871130694,465304.15819859836,110,5,110,1,4.545454545454546,100.0
461,SHINGLE SPRINGS,158718.38035999998,-474.5546100000001,113514.30186987034,19,0,19,1,0.0,100.0
462,SIMI VALLEY,4619.107296,-6.869455199999999,10238.297861003019,6,0,6,1,0.0,100.0
463,SODA SPRINGS,320.0,0.0,14.9123142335921,1,0,1,1,0.0,100.0
464,SOLEDAD,997892.5187299999,-5371.96743008,444892.4499790295,637,17,637,2,2.6687598116169546,100.0
465,SOLVANG,28023.0,0.0,1920.1805680248372,149,0,149,1,0.0,100.0
466,SOMES BAR,1880.0811,-31.1382,1493.1929866811,1,0,1,1,0.0,100.0
467,SOMIS,164255.99364,-1.138404456,112929.9999330725,4,0,4,1,0.0,100.0
468,SONOMA,526835.0317979999,-2733.5204399999993,254892.35029152088,345,253,345,2,73.33333333333333,100.0
469,SONORA,217479.329636,-369.86286089999993,158242.83703767625,18,7,18,1,38.88888888888889,100.0
470,SOQUEL,246206.24399999995,-716.965,148153.77271486435,26,0,26,1,0.0,100.0
471,SOUTH EL MONTE,76638.374808,-114.00291999199999,153599.01529277212,46,0,46,1,0.0,100.0
472,SOUTH PASADENA,57091.41144000001,-84.89244657600001,95705.15238874192,12,0,12,1,0.0,100.0
473,SOUTH SAN FRANCISCO,634714.460138,-2904.9419119000004,265264.75683459826,59,3,59,1,5.084745762711865,100.0
474,SPRECKELS,3835.0,0.0,258.8710158932047,20,0,20,1,0.0,100.0
475,SQUAW VALLEY,31045.977,-397.584,15655.010527592505,5,0,5,1,0.0,100.0
476,STANFORD,10360.0,0.0,7983.035466980047,56,0,56,1,0.0,100.0
