city,total_population
Monterey,28916
Wrightwood,3984
Julian,2223
Descanso,2235
Valley Center,18293
Pacific Palisades,23541
La Jolla,47801
Fort Jones,1733
MI Wuk Village,5933
Folsom,78159
Sloughhouse,6999
Truckee,18279
Philo,3023
Shaver Lake,2779
Dunnigan,5722
Coarsegold,12361
Georgetown,7911
Covelo,2674
Point Arena,4188
Warner Springs,3045
Mammoth Lakes,8169
La Quinta,34116
Jamul,19771
Bridgeport,2444
Blue Lake,3346
Laguna Niguel,67181
Forestville,8376
Coronado,21172
Forest Ranch,4753
Rancho Santa Margarita,36433
Glenn,1594
Lakehead,1670
Pacifica,38984
Pauma Valley,6925
Trinidad,2775
Dunsmuir,2012
Atascadero,25335
Raymond,2161
Lewiston,6613
Davenport,4684
Burlingame,42760
Templeton,14011
Kings Beach,4202
Bridgeville,4179
Silverado,1639
Penn Valley,5606
San Ramon,86097
Arnold,4664
Solana Beach,12164
Middletown,7108
Los Osos,15829
Wilseyville,2722
Mount Shasta,6544
Somes Bar,1834
Comptche,6135
Sierra Madre,10932
Herlong,3209
Bayside,5229
Stanford,20872
Calistoga,6684
Capitola,11739
Indian Wells,3942
Shingle Springs,34244
Laguna Beach,38088
Alta,2932
Guerneville,7577
Modoc Shasta Klamath for,1261
Loomis,16427
Foresthill,6903
Pollock Pines,12697
Somerset,5889
Solvang,6445
Markleeville,1039
Forks of Salmon,3625
Angwin,5288
Manhattan Beach,35500
Aliso Viejo,48782
Camino,3495
Yountville,2987
Aptos,31518
Montgomery Creek,5123
Rancho Mirage,17140
Los Gatos,49210
McKinleyville,17843
Moss Beach,6108
Crescent Mills,2510
Greenbrae,12130
Cedarville,1307
Eldorado NTL Forest,3668
Garberville,3241
Rancho Palos Verdes,44864
Murphys,3560
Foothill Ranch,5662
San Marino,13194
Orinda,20468
Penngrove,5737
Hopland,2051
Elk,2210
Blairsden-Graeagle,1359
Ben Lomond,8366
Los Olivos,2620
Arroyo Grande,25014
Challenge,4122
Hayfork,3182
Corte Madera,11867
Los Altos,47624
Newcastle,2979
Colfax,7188
Palos Verdes Peninsula,23163
Cardiff By the Sea,5686
Southeast Trinity County,894
Atherton,7168
Boulder Creek,10622
Meadow Vista,4875
Trabuco Canyon,26770
Cambria,8388
Occidental,3848
Topanga,7213
Pismo Beach,8161
Saratoga,30858
Big Bar,2011
Earp,1312
Granite Bay,25063
Hermosa Beach,19539
Del Mar,22514
Fairfax,9682
Danville,49140
El Dorado,2467
Glen Ellen,4782
Janesville,3240
Belvedere Tiburon,13729
Newport Coast,13758
Rescue,9409
Cayucos,2630
Scotts Valley,8746
El Dorado Hills,33927
Portola Valley,7148
Herald,2300
Pilot Hill,5446
Mill Valley,31047
Tahoma,415
Cazadero,3983
Rough and Ready,5783
Tahoe City,2117
Applegate,3350
Lafayette,29449
Palo Cedro,6629
Felton,4781
Soquel,3229
Pebble Beach,3991
Ladera Ranch,27000
Clayton,14078
Rancho Santa Fe,4538
Sunset Beach,919
Lake Hughes,1631
Oak Park,8355
Villa Park,5850
Larkspur,5857
Corona del Mar,9843
Norden,1318
Point Reyes Station,1641
San Anselmo,17184
Carmel,21923
Stinson Beach,1825
Pacific Grove,15522
Penryn,2546
Alamo,9373
Moraga,15733
San Geronimo,3371
Carnelian Bay,1056
Universal City,0
Yosemite National Park,1702
San Quentin,2649
Kyburz,94
Channel Islands,10
Channel Is Air Guard Station,118
